ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
1,study,n,190388,137208,"2,52","0,93",8,13478,24793,35896,4189,7217,11105,17859,21828,843,"0,83","2,67","1,88","0,30","0,58","0,76","0,69","1,99","0,06"
2,group,n,249082,122011,"1,72","0,94",9,14605,16370,30711,9072,6565,11017,18049,12296,3326,"1,01","1,98","1,81","0,73","0,59","0,85","0,78","1,26","0,26"
3,system,n,215748,110176,"1,79","0,90",9,10741,6905,11520,10992,4460,5777,44694,10562,4525,"0,82","0,92","0,75","0,98","0,44","0,49","2,14","1,20","0,39"
4,social,j,146215,99744,"2,39","0,90",8,16342,10085,36254,7786,7200,11101,5175,4925,876,"1,38","1,49","2,61","0,77","0,79","1,04","0,27","0,62","0,08"
5,provide,v,162772,93212,"2,01","0,94",9,9292,12852,17158,8770,7424,6567,20856,8235,2058,"0,84","2,03","1,32","0,92","0,87","0,66","1,18","1,10","0,21"
6,however,r,151837,90906,"2,10","0,95",8,12671,7368,16081,10333,8617,8748,18058,7294,1736,"1,17","1,20","1,27","1,12","1,04","0,90","1,05","1,00","0,18"
7,research,n,126662,83325,"2,30","0,92",9,5175,14448,19389,3185,4045,5275,22056,7684,2068,"0,52","2,56","1,67","0,38","0,53","0,59","1,40","1,15","0,24"
8,level,n,132310,78162,"2,07","0,94",8,5869,12278,17571,5513,5284,5740,14020,10611,1276,"0,63","2,32","1,61","0,69","0,74","0,69","0,95","1,70","0,16"
9,result,n,123215,72083,"2,05","0,94",9,5475,9383,15485,5080,3438,6017,15312,10277,1616,"0,64","1,92","1,54","0,69","0,52","0,78","1,12","1,78","0,21"
10,include,v,145280,70098,"1,69","0,95",9,6485,8831,12724,5219,6160,4973,15820,7775,2111,"0,78","1,86","1,30","0,73","0,97","0,67","1,19","1,38","0,29"
11,important,j,155792,67258,"1,51","0,95",9,8792,7515,12911,6408,6472,6584,11402,5742,1432,"1,10","1,65","1,38","0,94","1,06","0,92","0,89","1,07","0,20"
